608,97,18
343,146,18
953,489,18
477,769,18
959,634,18
439,567,18
426,178,18
825,93,18
170,759,18
674,617,18
393,607,18
698,680,18
348,606,18
28,568,18
437,370,18
618,218,18
30,199,18
81,492,18
462,284,18
498,126,18
187,707,18
815,328,18
207,412,18
71,345,18
795,703,18
749,68,18
714,575,18
224,528,18
516,394,18
658,188,18
621,251,18
784,581,18
27,395,18
668,629,18
851,737,18
382,593,18
740,594,18
456,687,18
376,674,18
602,626,18
788,437,18
314,482,18
135,731,18
847,280,18
346,520,18
262,172,18
202,232,18
74,148,18
637,203,18
532,532,18
768,527,18
453,45,18
57,738,18
543,732,18
143,166,18
364,162,18
50,663,18
394,751,18
601,692,18
675,324,18
471,416,18
632,613,18
433,246,18
775,320,18
409,726,18
625,779,18
636,159,18
917,62,18
295,603,18
474,656,18
138,402,18
844,776,18
835,741,18
747,559,18
849,276,18
502,30,18
76,332,18
276,468,18
832,701,18
391,400,18
421,529,18
342,213,18
705,589,18
292,76,18
228,195,18
428,493,18
807,666,18
327,192,18
592,210,18
301,222,18
